Acción,Argumento 1,Argumento 2,Argumento 3,Argumento 4
cambiar,happy,,,
mensaje,Radamantis,Genial eso si fue un encuentro explosivo. Aunque no tanto como yo.,,
cambiar,intrigued,,,
mensaje,Radamantis,¿Cómo se sienten? ,,
cambiar,happy3,,,
mensaje,Radamantis,Nada te desestresa más que un combate mortal.,,
cambiar,happy4,,,
mensaje,Radamantis,Siempre digo que no hay nada mejor que un combate de explosivos aunque a veces haya tontos que se confunden y traen cuchillos.,,
cambiar,pokerface,,,
mensaje,Radamantis,"Graciosamente a dos participantes le funcionó, desde entonces un superior me grita “¡Son expertos Rada, expertos!”.",,
