Acción,Argumento 1,Argumento 2,Argumento 3,Argumento 4
cambiar,happy4,,,
mensaje,Radamantis,"¡Sí que le dieron duro a ese juego, como los pollos a Link en Ocarina of Time! ",,
sonido,cricri.wav,,,
cambiar,pokerface,,,
mensaje,Radamantis,"Vaya, sin risas. En serio, que publicó difícil, ",,
cambiar,confused,,,
mensaje,Radamantis,¿alguien con sentido del humor?,,
cambiar,nada,,,
mensaje,Persona del Publico,¡Pues tus chistes no!,,
sonido,RadaJoke.mp3,1,,
sonido,laughing.wav,0,,
cambiar,happy4,,,
mensaje,Radamantis,"Jaja, está bien, actualizo mi opinión de querido público a cretinos.",,
cambiar,happy2,,,
mensaje,Radamantis,"Anotación: primero, ir a trabajar mañana; segundo, despedir a Frank por el redoble; tercero, terminar de cortar el pasto, y esta vez no pasarlo para otro día.",,
