Acción,Argumento 1,Argumento 2,Argumento 3,Argumento 4
cambiar,happy2,,,
mensaje,Radamantis,Y tenemos un ganador: “Damas y caballeros” o mejor dicho almas y demonios. ,,
cambiar,sad,,,
mensaje,Radamantis,Y eso que pensé que nunca terminaríamos.,,
cambiar,happy4,,,
mensaje,Radamantis,Este fue un show emotivo pero va siendo hora de que caiga el telón. Ha sido…,,
cambiar,confused,,,
mensaje,Radamantis,"mm ¿Qué pasa?¿A tu premio? A si eso, lo lamento, mentí nunca hubo un premio,",,
cambiar,ups,,,
mensaje,Radamantis,mi error “tehe”,,
cambiar,demoniac,,,
mensaje,Radamantis,"Bueno, en realidad estaban aquí para ser castigados por sus errores y solo los dejé jugar ¿no?",,
cambiar,happy3,,,
mensaje,Radamantis,"Pero bueno, eventualmente volverás a participar y ni te darás cuenta. Después de todo el tiempo no es algo que nos preocupe aquí.",,
sound,snap.wav,,,
esperar,1,,,
